day,pts,rank,team
0,0,1,Rennes
0,0,2,Evian TG
0,0,3,Bastia
0,0,4,Marseille
0,0,5,Paris SG
0,0,6,Nice
0,0,7,Toulouse
0,0,8,Lyon
0,0,9,Nantes
0,0,10,Metz
0,0,11,Lens
0,0,12,Reims
0,0,13,Bordeaux
0,0,14,Monaco
0,0,15,St Etienne
0,0,16,Lille
0,0,17,Lorient
0,0,18,Caen
0,0,19,Guingamp
0,0,20,Montpellier
1,3,1,Nice
1,3,2,Lyon
1,3,3,Nantes
1,3,4,Bordeaux
1,3,5,St Etienne
1,3,6,Lorient
1,3,7,Caen
1,1,8,Bastia
1,1,9,Marseille
1,1,10,Paris SG
1,1,11,Metz
1,1,12,Reims
1,1,13,Lille
1,0,14,Rennes
1,0,15,Evian TG
1,0,16,Toulouse
1,0,17,Lens
1,0,18,Monaco
1,0,19,Guingamp
1,0,20,Montpellier
2,6,1,Bordeaux
2,6,2,St Etienne
2,4,3,Nice
2,4,4,Nantes
2,4,5,Lorient
2,4,6,Paris SG
2,4,7,Lille
2,3,8,Lyon
2,3,9,Caen
2,3,10,Rennes
2,3,11,Toulouse
2,3,12,Guingamp
2,3,13,Montpellier
2,2,14,Metz
2,1,15,Bastia
2,1,16,Marseille
2,1,17,Reims
2,0,18,Evian TG
2,0,19,Lens
2,0,20,Monaco
3,9,1,Bordeaux
3,7,2,St Etienne
3,7,3,Lille
3,6,4,Caen
3,6,5,Montpellier
3,5,6,Paris SG
3,4,7,Rennes
3,4,8,Nice
3,4,9,Nantes
3,4,10,Lorient
3,4,11,Bastia
3,4,12,Marseille
3,3,13,Toulouse
3,3,14,Lyon
3,3,15,Guingamp
3,3,16,Lens
3,3,17,Monaco
3,2,18,Metz
3,1,19,Evian TG
3,1,20,Reims
4,10,1,Bordeaux
4,8,2,Lille
4,8,3,Paris SG
4,7,4,St Etienne
4,7,5,Rennes
4,7,6,Marseille
4,7,7,Nantes
4,7,8,Lorient
4,6,9,Caen
4,6,10,Montpellier
4,6,11,Toulouse
4,6,12,Lens
4,5,13,Bastia
4,5,14,Metz
4,4,15,Nice
4,4,16,Monaco
4,3,17,Lyon
4,3,18,Guingamp
4,1,19,Evian TG
4,1,20,Reims
5,11,1,Lille
5,10,2,Bordeaux
5,10,3,Marseille
5,10,4,St Etienne
5,9,5,Paris SG
5,9,6,Montpellier
5,8,7,Rennes
5,7,8,Nantes
5,7,9,Lens
5,7,10,Lorient
5,7,11,Nice
5,6,12,Bastia
5,6,13,Toulouse
5,6,14,Caen
5,6,15,Lyon
5,6,16,Guingamp
5,5,17,Metz
5,4,18,Monaco
5,4,19,Reims
5,1,20,Evian TG
6,13,1,Marseille
6,13,2,Bordeaux
6,13,3,St Etienne
6,12,4,Lille
6,10,5,Paris SG
6,10,6,Montpellier
6,10,7,Nantes
6,8,8,Rennes
6,8,9,Metz
6,7,10,Nice
6,7,11,Toulouse
6,7,12,Lyon
6,7,13,Lens
6,7,14,Lorient
6,7,15,Caen
6,7,16,Reims
6,7,17,Monaco
6,6,18,Bastia
6,6,19,Guingamp
6,1,20,Evian TG
7,16,1,Marseille
7,14,2,Bordeaux
7,14,3,St Etienne
7,13,4,Paris SG
